number,ticker,cap,name,industry,sector
131,LPLA,24.34B,LPL Financial Holdings Inc.,Capital Markets,Financials
132,SBAC,24.30B,SBA Communications Corporation,REIT - Specialty,Real Estate
133,CDW,24.17B,CDW Corporation,Information Technology Services,Technology
134,PTC,24.10B,PTC Inc.,Software - Application,Technology
135,WDC,24.00B,Western Digital Corporation,Computer Hardware,Technology
136,EXPE,23.63B,"Expedia Group, Inc.",Travel Services,Consumer Discretionary
137,BIIB,23.13B,Biogen Inc.,Drug Manufacturers - General,Healthcare
138,VOD,23.11B,Vodafone Group Public Limited Company,Telecom Services,Communication Services
139,EXE,22.85B,Expand Energy Corporation,Oil & Gas Exploration & Production,Energy
140,ILMN,22.81B,"Illumina, Inc.",Diagnostics & Research,Healthcare
141,ERIE,22.55B,Erie Indemnity Company,Insurance Brokers,Financials
142,SMCI,22.49B,"Super Micro Computer, Inc.",Computer Hardware,Technology
143,LI,22.38B,Li Auto Inc.,Auto Manufacturers,Consumer Discretionary
144,STLD,22.07B,"Steel Dynamics, Inc.",Steel,Materials
145,SYM,21.96B,Symbotic Inc.,Specialty Industrial Machinery,Industrials
146,NTRS,21.91B,Northern Trust Corporation,Asset Management,Financials
147,FWONK,21.86B,Formula One Group,Entertainment,Communication Services
148,AFRM,21.78B,"Affirm Holdings, Inc.",Software - Infrastructure,Technology
149,NTRA,21.70B,"Natera, Inc.",Diagnostics & Research,Healthcare
150,FWONA,21.67B,Formula One Group,Entertainment,Communication Services
151,STX,21.44B,Seagate Technology Holdings plc,Computer Hardware,Technology
152,RYAAY,21.18B,Ryanair Holdings plc,Airlines,Industrials
153,FOXA,21.05B,Fox Corporation,Entertainment,Communication Services
154,DKNG,20.97B,DraftKings Inc.,Gambling,Consumer Discretionary
155,FOX,20.81B,Fox Corporation,Entertainment,Communication Services
156,GRAB,20.70B,Grab Holdings Limited,Software - Application,Technology
157,ZBRA,20.68B,Zebra Technologies Corporation,Communication Equipment,Technology
158,FSLR,20.64B,"First Solar, Inc.",Solar,Technology
159,COO,20.39B,"The Cooper Companies, Inc.",Medical Instruments & Supplies,Healthcare
160,BGNE,20.22B,"BeiGene, Ltd.",Biotechnology,Healthcare
161,KSPI,20.18B,Joint Stock Company Kaspi.kz,Software - Infrastructure,Technology
162,CHKP,20.15B,Check Point Software Technologies Ltd.,Software - Infrastructure,Technology
163,PFG,19.91B,"Principal Financial Group, Inc.",Asset Management,Financials
164,NTNX,19.50B,"Nutanix, Inc.",Software - Infrastructure,Technology
165,CG,19.45B,The Carlyle Group Inc.,Asset Management,Financials
166,Z,19.38B,"Zillow Group, Inc.",Internet Content & Information,Communication Services
167,SSNC,19.04B,"SS&C Technologies Holdings, Inc.",Software - Application,Technology
168,ZG,19.01B,"Zillow Group, Inc.",Internet Content & Information,Communication Services
169,JBHT,18.99B,"J.B. Hunt Transport Services, Inc.",Integrated Freight & Logistics,Industrials
170,GEN,18.87B,Gen Digital Inc.,Software - Infrastructure,Technology
171,PODD,18.70B,Insulet Corporation,Medical Devices,Healthcare
172,HOLX,18.52B,"Hologic, Inc.",Medical Instruments & Supplies,Healthcare
173,TER,18.02B,"Teradyne, Inc.",Semiconductor Equipment & Materials,Technology
174,ALGN,17.96B,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare
175,ICLR,17.90B,ICON Public Limited Company,Diagnostics & Research,Healthcare
176,TRMB,17.81B,Trimble Inc.,Scientific & Technical Instruments,Technology
177,MANH,17.76B,"Manhattan Associates, Inc.",Software - Application,Technology
178,VRSN,17.48B,"VeriSign, Inc.",Software - Infrastructure,Technology
179,DOCU,17.35B,"DocuSign, Inc.",Software - Application,Technology
180,FTAI,17.26B,FTAI Aviation Ltd.,Rental & Leasing Services,Industrials
181,NWS,17.25B,News Corporation,Entertainment,Communication Services
182,ULTA,17.09B,"Ulta Beauty, Inc.",Specialty Retail,Consumer Discretionary
183,SOFI,17.04B,"SoFi Technologies, Inc.",Credit Services,Financials
184,ALAB,17.02B,"Astera Labs, Inc.",Semiconductors,Technology
185,MRNA,16.80B,"Moderna, Inc.",Biotechnology,Healthcare
186,NWSA,16.75B,News Corporation,Entertainment,Communication Services
187,WMG,16.60B,Warner Music Group Corp.,Entertainment,Communication Services
188,LINE,16.53B,"Lineage, Inc.",REIT - Industrial,Real Estate
189,UTHR,16.46B,United Therapeutics Corporation,Biotechnology,Healthcare
190,LNT,16.33B,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities
191,ENTG,16.31B,"Entegris, Inc.",Semiconductor Equipment & Materials,Technology
192,VTRS,15.95B,Viatris Inc.,Drug Manufacturers - Specialty & Generic,Healthcare
193,FLEX,15.93B,Flex Ltd.,Electronic Components,Technology
194,AZPN,15.87B,"Aspen Technology, Inc.",Software - Application,Technology
195,CASY,15.84B,"Casey's General Stores, Inc.",Specialty Retail,Consumer Discretionary
196,BSY,15.63B,"Bentley Systems, Incorporated",Software - Application,Technology
197,RPRX,15.60B,Royalty Pharma plc,Biotechnology,Healthcare
198,EWBC,15.42B,"East West Bancorp, Inc.",Banks - Regional,Financials
199,DUOL,15.31B,"Duolingo, Inc.",Software - Application,Technology
200,MORN,15.13B,"Morningstar, Inc.",Financial Data & Stock Exchanges,Financials
201,NDSN,15.07B,Nordson Corporation,Specialty Industrial Machinery,Industrials
202,MBLY,15.00B,Mobileye Global Inc.,Auto Parts,Consumer Discretionary
203,DLTR,15.00B,"Dollar Tree, Inc.",Discount Stores,Consumer Staples
204,POOL,14.84B,Pool Corporation,Industrial Distribution,Industrials
205,EVRG,14.83B,"Evergy, Inc.",Utilities - Regulated Electric,Utilities
206,SFM,14.80B,"Sprouts Farmers Market, Inc.",Grocery Stores,Consumer Staples
207,SAIA,14.78B,"Saia, Inc.",Trucking,Industrials
208,MNDY,14.76B,monday.com Ltd.,Software - Application,Technology
209,FFIV,14.58B,"F5, Inc.",Software - Infrastructure,Technology
210,GLPI,14.49B,"Gaming and Leisure Properties, Inc.",REIT - Specialty,Real Estate
211,AKAM,14.22B,"Akamai Technologies, Inc.",Software - Infrastructure,Technology
212,ARCC,14.21B,Ares Capital Corporation,Asset Management,Financials
213,INCY,14.16B,Incyte Corporation,Biotechnology,Healthcare
214,SMMT,14.15B,Summit Therapeutics Inc.,Biotechnology,Healthcare
215,SWKS,14.06B,"Skyworks Solutions, Inc.",Semiconductors,Technology
216,CYBR,14.02B,CyberArk Software Ltd.,Software - Infrastructure,Technology
217,CPB,13.69B,The Campbell's Company,Packaged Foods,Consumer Staples
218,LAMR,13.66B,Lamar Advertising Company,REIT - Specialty,Real Estate
219,TXRH,13.48B,"Texas Roadhouse, Inc.",Restaurants,Consumer Discretionary
220,REG,13.48B,Regency Centers Corporation,REIT - Retail,Real Estate
221,INSM,13.25B,Insmed Incorporated,Biotechnology,Healthcare
222,GMAB,13.20B,Genmab A/S,Biotechnology,Healthcare
223,OKTA,12.99B,"Okta, Inc.",Software - Infrastructure,Technology
224,HST,12.88B,"Host Hotels & Resorts, Inc.",REIT - Hotel & Motel,Real Estate
225,NBIX,12.87B,"Neurocrine Biosciences, Inc.",Drug Manufacturers - Specialty & Generic,Healthcare
226,CHRW,12.71B,"C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,Industrials
227,JKHY,12.58B,"Jack Henry & Associates, Inc.",Information Technology Services,Technology
228,WIX,12.50B,Wix.com Ltd.,Software - Infrastructure,Technology
229,LECO,12.41B,"Lincoln Electric Holdings, Inc.",Tools & Accessories,Industrials
230,BMRN,12.41B,BioMarin Pharmaceutical Inc.,Biotechnology,Healthcare
231,PAA,12.36B,"Plains All American Pipeline, L.P.",Oil & Gas Midstream,Energy
232,LBRDK,12.24B,Liberty Broadband Corporation,Telecom Services,Communication Services
233,LBRDA,12.24B,Liberty Broadband Corporation,Telecom Services,Communication Services
234,MMYT,12.07B,MakeMyTrip Limited,Travel Services,Consumer Discretionary
235,RKLB,12.03B,"Rocket Lab USA, Inc.",Aerospace & Defense,Industrials
236,LOGI,12.02B,Logitech International S.A.,Computer Hardware,Technology
237,PPC,11.93B,Pilgrim's Pride Corporation,Packaged Foods,Consumer Staples
238,RIVN,11.84B,"Rivian Automotive, Inc.",Auto Manufacturers,Consumer Discretionary
239,TECH,11.82B,Bio-Techne Corporation,Biotechnology,Healthcare
240,PCTY,11.71B,Paylocity Holding Corporation,Software - Application,Technology
241,FUTU,11.59B,Futu Holdings Limited,Capital Markets,Financials
242,NICE,11.43B,NICE Ltd.,Software - Application,Technology
243,PCVX,11.43B,"Vaxcyte, Inc.",Biotechnology,Healthcare
244,COKE,11.39B,"Coca-Cola Consolidated, Inc.",Beverages - Non-Alcoholic,Consumer Staples
245,HLNE,11.29B,Hamilton Lane Incorporated,Asset Management,Financials
246,ESLT,11.29B,Elbit Systems Ltd.,Aerospace & Defense,Industrials
247,CART,11.20B,Maplebear Inc.,Internet Retail,Consumer Discretionary
248,AAON,11.18B,"AAON, Inc.",Building Products & Equipment,Industrials
249,AUR,11.08B,"Aurora Innovation, Inc.",Information Technology Services,Technology
250,TTEK,11.04B,"Tetra Tech, Inc.",Engineering & Construction,Industrials
251,HTHT,11.02B,H World Group Limited,Lodging,Consumer Discretionary
252,SRPT,10.95B,"Sarepta Therapeutics, Inc.",Biotechnology,Healthcare
253,WWD,10.70B,"Woodward, Inc.",Aerospace & Defense,Industrials
254,GTLB,10.65B,GitLab Inc.,Software - Infrastructure,Technology
255,TLN,10.65B,Talen Energy Corporation,Utilities - Independent Power Producers,Utilities
256,CFLT,10.57B,"Confluent, Inc.",Software - Infrastructure,Technology
257,SEIC,10.52B,SEI Investments Company,Asset Management,Financials
258,MEDP,10.48B,"Medpace Holdings, Inc.",Diagnostics & Research,Healthcare
259,CHDN,10.42B,Churchill Downs Incorporated,Gambling,Consumer Discretionary
260,EXEL,10.39B,"Exelixis, Inc.",Biotechnology,Healthcare
261,LKQ,10.34B,LKQ Corporation,Auto Parts,Consumer Discretionary
262,VNOM,10.21B,"Viper Energy, Inc.",Oil & Gas Midstream,Energy
263,EXAS,10.21B,Exact Sciences Corporation,Diagnostics & Research,Healthcare
264,WYNN,10.17B,"Wynn Resorts, Limited",Resorts & Casinos,Consumer Discretionary
265,TEM,10.06B,"Tempus AI, Inc",Health Information Services,Healthcare
266,DSGX,9.98B,The Descartes Systems Group Inc.,Software - Application,Technology
267,DOX,9.97B,Amdocs Limited,Software - Infrastructure,Technology
268,MKTX,9.95B,MarketAxess Holdings Inc.,Capital Markets,Financials
269,PNFP,9.94B,"Pinnacle Financial Partners, Inc.",Banks - Regional,Financials
270,ROKU,9.91B,"Roku, Inc.",Entertainment,Communication Services
271,WING,9.85B,Wingstop Inc.,Restaurants,Consumer Discretionary
272,AAL,9.80B,American Airlines Group Inc.,Airlines,Industrials
273,MTSI,9.80B,"MACOM Technology Solutions Holdings, Inc.",Semiconductors,Technology
274,ENPH,9.72B,"Enphase Energy, Inc.",Solar,Technology
275,RVMD,9.67B,"Revolution Medicines, Inc.",Biotechnology,Healthcare
276,HSIC,9.58B,"Henry Schein, Inc.",Medical Distribution,Healthcare
277,CBSH,9.54B,"Commerce Bancshares, Inc.",Banks - Regional,Financials
278,RGLD,9.53B,"Royal Gold, Inc.",Gold,Materials
279,MASI,9.51B,Masimo Corporation,Medical Devices,Healthcare
280,DRS,9.37B,"Leonardo DRS, Inc.",Aerospace & Defense,Industrials
281,WTFC,9.20B,Wintrust Financial Corporation,Banks - Regional,Financials
282,VFS,9.19B,VinFast Auto Ltd.,Auto Manufacturers,Consumer Discretionary
283,ZION,9.12B,"Zions Bancorporation, National Association",Banks - Regional,Financials
284,GGAL,9.09B,Grupo Financiero Galicia S.A.,Banks - Regional,Financials
285,ROIV,9.07B,Roivant Sciences Ltd.,Biotechnology,Healthcare
286,HQY,9.06B,"HealthEquity, Inc.",Health Information Services,Healthcare
287,SIRI,9.06B,Sirius XM Holdings Inc.,Entertainment,Communication Services
288,ALTR,9.02B,Altair Engineering Inc.,Software - Infrastructure,Technology
289,APPF,9.02B,"AppFolio, Inc.",Software - Application,Technology
290,ITCI,9.01B,"Intra-Cellular Therapies, Inc.",Drug Manufacturers - Specialty & Generic,Healthcare
291,HAS,8.98B,"Hasbro, Inc.",Leisure,Consumer Discretionary
292,BRKR,8.93B,Bruker Corporation,Medical Devices,Healthcare
293,DBX,8.83B,"Dropbox, Inc.",Software - Infrastructure,Technology
294,LNW,8.69B,"Light & Wonder, Inc.",Gambling,Consumer Discretionary
295,GLBE,8.69B,Global-E Online Ltd.,Internet Retail,Consumer Discretionary
296,FYBR,8.69B,"Frontier Communications Parent, Inc.",Telecom Services,Communication Services
297,FSV,8.67B,FirstService Corporation,Real Estate Services,Real Estate
298,AGNC,8.63B,AGNC Investment Corp.,REIT - Mortgage,Real Estate
299,XP,8.61B,XP Inc.,Capital Markets,Financials
300,VERX,8.56B,"Vertex, Inc.",Software - Application,Technology
301,MARA,8.50B,"MARA Holdings, Inc.",Capital Markets,Financials
302,MRNO,8.49B,Murano Global Investments Plc,Real Estate - Development,Real Estate
303,UFPI,8.44B,"UFP Industries, Inc.",Lumber & Wood Production,Materials
304,APA,8.39B,APA Corporation,Oil & Gas Exploration & Production,Energy
305,CZR,8.38B,"Caesars Entertainment, Inc.",Resorts & Casinos,Consumer Discretionary
306,ENSG,8.26B,"The Ensign Group, Inc.",Medical Care Facilities,Healthcare
307,RGEN,8.18B,Repligen Corporation,Medical Instruments & Supplies,Healthcare
308,MTCH,8.18B,"Match Group, Inc.",Internet Content & Information,Communication Services
309,PEGA,8.17B,Pegasystems Inc.,Software - Application,Technology
310,OLED,8.04B,Universal Display Corporation,Electronic Components,Technology
311,CHRD,7.97B,Chord Energy Corporation,Oil & Gas Exploration & Production,Energy
312,CCCS,7.97B,CCC Intelligent Solutions Holdings Inc.,Software - Application,Technology
313,OTEX,7.93B,Open Text Corporation,Software - Application,Technology
314,LSCC,7.93B,Lattice Semiconductor Corporation,Semiconductors,Technology
315,MIDD,7.91B,The Middleby Corporation,Specialty Industrial Machinery,Industrials
316,MKSI,7.84B,"MKS Instruments, Inc.",Scientific & Technical Instruments,Technology
317,WBA,7.83B,"Walgreens Boots Alliance, Inc.",Pharmaceutical Retailers,Healthcare
318,LEGN,7.83B,Legend Biotech Corporation,Biotechnology,Healthcare
319,ASND,7.82B,Ascendis Pharma A/S,Biotechnology,Healthcare
320,CRDO,7.82B,Credo Technology Group Holding Ltd,Semiconductors,Technology
321,STEP,7.81B,StepStone Group Inc.,Asset Management,Financials
322,PARAA,7.74B,Paramount Global,Entertainment,Communication Services
323,CVLT,7.68B,"Commvault Systems, Inc.",Software - Application,Technology
324,BOKF,7.67B,BOK Financial Corporation,Banks - Regional,Financials
325,BILI,7.64B,Bilibili Inc.,Electronic Gaming & Multimedia,Communication Services
326,OS,7.62B,"OneStream, Inc.",Software - Infrastructure,Technology
327,MDGL,7.53B,"Madrigal Pharmaceuticals, Inc.",Biotechnology,Healthcare
328,EXLS,7.52B,"ExlService Holdings, Inc.",Information Technology Services,Technology
329,JAZZ,7.52B,Jazz Pharmaceuticals plc,Biotechnology,Healthcare
330,FRPT,7.51B,"Freshpet, Inc.",Packaged Foods,Consumer Staples
331,LYFT,7.42B,"Lyft, Inc.",Software - Application,Technology
332,PARA,7.42B,Paramount Global,Entertainment,Communication Services
333,CIGI,7.34B,Colliers International Group Inc.,Real Estate Services,Real Estate
334,ONB,7.32B,Old National Bancorp,Banks - Regional,Financials
335,SPSC,7.27B,"SPS Commerce, Inc.",Software - Application,Technology
336,CSWI,7.26B,"CSW Industrials, Inc.",Specialty Industrial Machinery,Industrials
337,BPOP,7.26B,"Popular, Inc.",Banks - Regional,Financials
338,UPST,7.25B,"Upstart Holdings, Inc.",Credit Services,Financials
339,FRHC,7.16B,Freedom Holding Corp.,Capital Markets,Financials
340,WSC,7.15B,WillScot Holdings Corporation,Rental & Leasing Services,Industrials
341,CWST,7.15B,"Casella Waste Systems, Inc.",Waste Management,Industrials
342,QXO,7.15B,"QXO, Inc.",Software - Application,Technology
343,CGNX,7.12B,Cognex Corporation,Scientific & Technical Instruments,Technology
344,GNTX,7.07B,Gentex Corporation,Auto Parts,Consumer Discretionary
345,BECN,7.04B,"Beacon Roofing Supply, Inc.",Industrial Distribution,Industrials
346,ASTS,7.01B,"AST SpaceMobile, Inc.",Communication Equipment,Technology
347,CELH,6.99B,"Celsius Holdings, Inc.",Beverages - Non-Alcoholic,Consumer Staples
348,SATS,6.98B,EchoStar Corporation,Communication Equipment,Technology
349,GRFS,6.97B,"Grifols, S.A.",Drug Manufacturers - General,Healthcare
350,HCP,6.88B,"HashiCorp, Inc.",Software - Infrastructure,Technology
351,NUVL,6.79B,"Nuvalent, Inc.",Biotechnology,Healthcare
352,COLB,6.71B,"Columbia Banking System, Inc.",Banks - Regional,Financials
353,DJT,6.67B,Trump Media & Technology Group Corp.,Internet Content & Information,Communication Services
354,AMKR,6.63B,"Amkor Technology, Inc.",Semiconductor Equipment & Materials,Technology
355,LLYVK,6.63B,Liberty Live Group,Entertainment,Communication Services
356,QRVO,6.59B,"Qorvo, Inc.",Semiconductors,Technology
357,LLYVA,6.56B,Liberty Live Group,Entertainment,Communication Services
358,LSTR,6.54B,"Landstar System, Inc.",Integrated Freight & Logistics,Industrials
359,LCID,6.53B,"Lucid Group, Inc.",Auto Manufacturers,Consumer Discretionary
360,COOP,6.44B,Mr. Cooper Group Inc.,Mortgage Finance,Financials
361,MAT,6.42B,"Mattel, Inc.",Leisure,Consumer Discretionary
362,CROX,6.33B,"Crocs, Inc.",Footwear & Accessories,Consumer Discretionary
363,LNTH,6.32B,"Lantheus Holdings, Inc.",Drug Manufacturers - Specialty & Generic,Healthcare
