Symbol,Description,Assets under management,Assets under management - Currency,Asset class,Focus,Brand,Category,Country of registration,Niche,Region,Strategy,Leverage,Portfolio transparency,Selection criteria,Weighting scheme,Index provider,Currency hedged,Derivative holdings,Tax form,UCITS compliance,Fund flows 1 month,Fund flows 1 month - Currency,Net assets value,Net assets value - Currency
IWF,iShares Russell 1000 Growth ETF,108189302390.4,USD,Equity,Large cap,iShares,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Multi-factor,Multi-factor,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,195312899.05000007,USD,414.005513,USD
IJH,iShares Core S&P Mid-Cap ETF,99654450441.3,USD,Equity,Mid cap,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1453429186.8999996,USD,65.626239,USD
IRRRF,Ishares III Plc,94243144481.286,USD,Equity,Total market,iShares,Size and style,Ireland,Broad-based,Developed markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,3806728745.3090005,USD,110.742,USD
IJR,iShares Core S&P Small-Cap ETF,93377787843.25,USD,Equity,Small cap,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1251608749.65,USD,122.789388,USD
VIG,Vanguard Div Appreciation ETF,88579191905.5357,USD,Equity,Total market,Vanguard,Size and style,United States,Broad-based,North America,Dividends,Non-leveraged,Semi or non-transparent,Dividends,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,972941286.3039562,USD,202.06,USD
VGT,Vanguard Information Tech ETF,85838827931.6365,USD,Equity,Information technology,Vanguard,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1095711916.5494015,USD,640.27,USD
VWO,Vanguard FTSE Emerging Markets ETF,82931273989.44,USD,Equity,Total market,Vanguard,Size and style,United States,Broad-based,Emerging markets,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,10345608.42,USD,46.5,USD
IEMG,iShares Core MSCI Emerging Markets ETF,81939924000,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Emerging markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,55.202,USD
IWM,iShares Russell 2000 ETF,81794425757.8,USD,Equity,Small cap,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2376538306.7000003,USD,233.039022,USD
VXUS,Vanguard Total International Stock ETF,77340068953.98,USD,Equity,Total market,Vanguard,Size and style,United States,Broad-based,Global Ex-U.S.,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,169225717.88000005,USD,61.69,USD
VO,Vanguard Mid-Cap ETF,76394810034.048,USD,Equity,Mid cap,Vanguard,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,Center for Research in Security Prices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1727396424.4689996,USD,276.36,USD
GLD,SPDR Gold Trust,74548768000,USD,Commodities,Gold,SPDR,Precious metals,United States,Physically held,Global,Vanilla,Non-leveraged,Transparent,Single asset,Single asset,The London Bullion Market Association,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-363468500,USD,245.496,USD
RSP,Invesco S&P 500 Equal Weight ETF,74194544343.14,USD,Equity,Large cap,Invesco,Size and style,United States,Broad-based,North America,Equal,Non-leveraged,Transparent,Committee,Equal,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3924715970,USD,182.121,USD
XLK,SPDR Select Sector Fund - Technology,74162292605.2865,USD,Equity,Information technology,SPDR,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-10821147.050000012,USD,239.077985,USD
VB,Vanguard Small-Cap ETF,67423703838.975,USD,Equity,Small cap,Vanguard,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,Center for Research in Security Prices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2209245572.269001,USD,253.2,USD
ITOT,iShares Core S&P Total U.S. Stock Market ETF,66244362658.95,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,528604162.9,USD,133.128663,USD
SCHD,Schwab US Dividend Equity ETF,65898930000,USD,Equity,Total market,Schwab,Size and style,United States,Broad-based,North America,Fundamental,Non-leveraged,Transparent,Fundamental,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1938404000,USD,28.12,USD
BNDX,Vanguard Total International Bond ETF,62759624090.9251,USD,Fixed income,Investment grade,Vanguard,"Broad market, broad-based",United States,Broad maturities,Global Ex-U.S.,Vanilla,Non-leveraged,Semi or non-transparent,Market value,Market value,Bloomberg Finance LP,Hedged,Holds,1099 (corporations),Non-compliant,684853674.916716,USD,50.2,USD
IWD,iShares Russell 1000 Value ETF,62749122121.2,USD,Equity,Large cap,iShares,Size and style,United States,Value,North America,Value,Non-leveraged,Transparent,Multi-factor,Multi-factor,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2335732403.2,USD,191.990308,USD
VYM,Vanguard High Dividend Yield ETF,60501057381.42,USD,Equity,High dividend yield,Vanguard,High dividend yield,United States,Broad-based,North America,Dividends,Non-leveraged,Semi or non-transparent,Dividends,Dividends,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,332913058.0679969,USD,131.81,USD
IVW,iShares S&P 500 Growth ETF,57818192996.4,USD,Equity,Large cap,iShares,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Fundamental,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,240689931.95000017,USD,104.356044,USD
EFA,iShares MSCI EAFE ETF,55110592320,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Developed markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,78.8902,USD
TLT,iShares 20+ Year Treasury Bond ETF,54461673045.6,USD,Fixed income,Investment grade,iShares,"Government, treasury",United States,Long-term,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-5438874331.9,USD,90.160423,USD
SPLG,SPDR Portfolio S&P 500 ETF,54460664130.95,USD,Equity,Large cap,SPDR,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2356037152.5499997,USD,71.090565,USD
IBIT,iShares Bitcoin Trust,53436408916.16,USD,Currency,"Long Bitcoin, short USD",iShares,Pair,United States,In specie,Global,Vanilla,Non-leveraged,Semi or non-transparent,Single asset,Single asset,CF Benchmarks Ltd.,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,6568391537.759999,USD,57.799087,USD
SCHX,Schwab U.S. Large-Cap ETF,52884098500,USD,Equity,Large cap,Schwab,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,26477000,USD,23.89,USD
QUAL,iShares MSCI USA Quality Factor ETF,51197076730.8,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Fundamental,Non-leveraged,Transparent,Fundamental,Fundamental,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-302244307.0500005,USD,183.923127,USD
XLF,SPDR Select Sector Fund - Financial,49911869219.4826,USD,Equity,Financials,SPDR,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,344331114.3500001,USD,49.462869,USD
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,49375906646.697,USD,Fixed income,Investment grade,Vanguard,"Corporate, broad-based",United States,Intermediate,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,891400847.8609941,USD,81.3,USD
VNGDF,Vanguard Funds PLC,46245143336.8176,USD,Equity,Large cap,Vanguard,Size and style,Ireland,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,76221084.22060005,USD,114.6185,USD
VT,Vanguard Total World Stock Index ETF,42955596683.6595,USD,Equity,Total market,Vanguard,Size and style,United States,Broad-based,Global,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,829354580.7983928,USD,121.95,USD
SCHF,Schwab International Equity ETF,41279050000,USD,Equity,Total market,Schwab,Size and style,United States,Broad-based,Developed markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,596804000,USD,19.03,USD
MUB,iShares National Muni Bond ETF,40904087101.5,USD,Fixed income,Investment grade,iShares,"Government, local authority/municipal",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,AMT-free,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,698449086.4000001,USD,107.241992,USD
IWR,iShares Russell Mid-Cap ETF,40638160180.8,USD,Equity,Mid cap,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,259836711.45,USD,92.593612,USD
VV,Vanguard Large-Cap ETF,40275482018.7167,USD,Equity,Large cap,Vanguard,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,Center for Research in Security Prices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-12317571.403543543,USD,278.49,USD
IWB,iShares Russell 1000 ETF,39946998950.1,USD,Equity,Large cap,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,511265974.0999999,USD,333.087389,USD
VEU,Vanguard FTSE All World Ex US ETF,39500831957.4151,USD,Equity,Total market,Vanguard,Size and style,United States,Broad-based,Global Ex-U.S.,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-184745361.96255127,USD,60.05,USD
DIA,SPDR Dow Jones Industrial Average ETF,39214178725.3877,USD,Equity,Large cap,SPDR,Size and style,United States,Broad-based,North America,Price-weighted,Non-leveraged,Transparent,Committee,Price,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,818069611.95,USD,439.296222,USD
QQQM,Invesco NASDAQ 100 ETF,38912627376.711,USD,Equity,Large cap,Invesco,Size and style,United States,Broad-based,North America,Exchange-specific,Non-leveraged,Transparent,NASDAQ - listed,Market cap,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1225092250,USD,218.385,USD
IXUS,iShares Core MSCI Total International Stock ETF,38544691880,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Global Ex-U.S.,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,489674930,USD,69.1778,USD
SCHG,Schwab U.S. Large-Cap Growth ETF,37776457500,USD,Equity,Large cap,Schwab,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Multi-factor,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,777476500,USD,28.75,USD
JEPI,JPMorgan Equity Premium Income ETF,37735599000,USD,Equity,Large cap,JPMorgan,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,947760500,USD,59.4,USD
XLV,SPDR Select Sector Fund - Health Care,37593885113.8354,USD,Equity,Health care,SPDR,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-520821567.04999995,USD,141.015348,USD
VTEB,Vanguard Tax-Exempt Bond ETF,36135002191.0737,USD,Fixed income,Investment grade,Vanguard,"Government, local authority/municipal",United States,Broad maturities,North America,Vanilla,Non-leveraged,Semi or non-transparent,AMT-free,Market value,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,265820174.77063793,USD,50.51,USD
IVE,iShares S&P 500 Value ETF,36015073281.6,USD,Equity,Large cap,iShares,Size and style,United States,Value,North America,Value,Non-leveraged,Transparent,Fundamental,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,274669924.95000005,USD,198.021703,USD
VNQ,Vanguard Real Estate ETF,36007907977.711,USD,Equity,Real estate,Vanguard,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-349799416.6569991,USD,93.85,USD
MBB,iShares MBS ETF,35990119270,USD,Fixed income,Investment grade,iShares,"Government, mortgage-backed",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2011126290,USD,92.5582,USD
XLE,SPDR Select Sector Fund - Energy Select Sector,35091767286.7062,USD,Equity,Energy,SPDR,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-665430052.0999999,USD,89.231396,USD
VCSH,Vanguard Short-Term Corporate Bond ETF,35090494018.295,USD,Fixed income,Investment grade,Vanguard,"Corporate, broad-based",United States,Short-term,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-954947563.9390017,USD,78.32,USD
SPYG,SPDR Series Trust SPDR Portfolio S&P 500 Growth ETF,34867871544.4439,USD,Equity,Large cap,SPDR,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Fundamental,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,834883588.6999999,USD,90.382445,USD
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,34697230256.6243,USD,Fixed income,Investment grade,SPDR,"Government, treasury",United States,Ultra-short term,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,401383849.60000014,USD,91.630901,USD
IAU,iShares Gold Trust Shares of the iShares Gold Trust,33937862000,USD,Commodities,Gold,iShares,Precious metals,United States,Physically held,Global,Vanilla,Non-leveraged,Transparent,Single asset,Single asset,The London Bullion Market Association,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,610498500,USD,50.2,USD
DFAC,Dimensional U.S. Core Equity 2 ETF,33544123418.6994,USD,Equity,Total market,Dimensional,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,305868142.376,USD,35.88151963,USD
SCHB,Schwab U.S. Broad Market ETF,33368614000,USD,Equity,Total market,Schwab,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,202914500,USD,23.4,USD
BSV,Vanguard Short-Term Bond ETF,33153680343.6,USD,Fixed income,Investment grade,Vanguard,"Broad market, broad-based",United States,Short-term,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-302747000,USD,77.42,USD
VBR,Vanguard Small-Cap Value ETF,32724511269.184,USD,Equity,Small cap,Vanguard,Size and style,United States,Value,North America,Value,Non-leveraged,Semi or non-transparent,Multi-factor,Multi-factor,Center for Research in Security Prices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,357838746.54700166,USD,208.91,USD
IEF,iShares 7-10 Year Treasury Bond ETF,32457746276,USD,Fixed income,Investment grade,iShares,"Government, treasury",United States,Intermediate,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-437878854,USD,93.654622,USD
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,32323614400,USD,Fixed income,Investment grade,iShares,"Corporate, broad-based",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3824746430,USD,108.6925,USD
IUSB,iShares Core Total USD Bond Market ETF,31805190408.2,USD,Fixed income,Broad credit,iShares,"Broad market, broad-based",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-299651166.8,USD,45.658149,USD
VGIT,Vanguard Intermediate-Term Treasury ETF,30897337171.1,USD,Fixed income,Investment grade,Vanguard,"Government, treasury",United States,Intermediate,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-91530703.57600081,USD,58.42,USD
DGRO,iShares Core Dividend Growth ETF,30626805917.2,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Dividends,Non-leveraged,Transparent,Fundamental,Dividends,"Morningstar, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,95583213.74999994,USD,63.364618,USD
GOVT,iShares U.S. Treasury Bond ETF,29609799612.8,USD,Fixed income,Investment grade,iShares,"Government, treasury",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,895433327.8000001,USD,22.654135,USD
SGOV,iShares 0-3 Month Treasury Bond ETF,28975904667.45,USD,Fixed income,Investment grade,iShares,"Government, treasury",United States,Ultra-short term,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1696450214.75,USD,100.488966,USD
JPST,JPMorgan Ultra-Short Income ETF,28454986000,USD,Fixed income,Investment grade,JPMorgan,"Broad market, broad-based",United States,Ultra-short term,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1473295500,USD,50.47,USD
TQQQ,ProShares UltraPro QQQ,26948573300,USD,Equity,Large cap,ProShares,Size and style,United States,Broad-based,North America,Exchange-specific,Leveraged 3x,Transparent,NASDAQ - listed,Market cap,NASDAQ,Unhedged,Holds,1099 (corporations),Non-compliant,-203219180,USD,89.4789,USD
COWZ,Pacer US Cash Cows 100 ETF,26357827650,USD,Equity,Large cap,Pacer,Size and style,United States,Broad-based,North America,Multi-factor,Non-leveraged,Transparent,Multi-factor,Fundamental,Index Design Group LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,396209360,USD,58.8915,USD
VONG,Vanguard Russell 1000 Growth ETF,25492822859.4,USD,Equity,Large cap,Vanguard,Size and style,United States,Growth,North America,Growth,Non-leveraged,Semi or non-transparent,Multi-factor,Multi-factor,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,198331500,USD,106.54,USD
MGK,Vanguard Mega Cap Growth ETF,25488493225.34,USD,Equity,Large cap,Vanguard,Size and style,United States,Growth,North America,Growth,Non-leveraged,Semi or non-transparent,Multi-factor,Multi-factor,Center for Research in Security Prices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-134697250,USD,353.9,USD
MDY,SPDR S&P MidCap 400 ETF Trust,25476076097.03,USD,Equity,Mid cap,SPDR,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,747140975,USD,599.462,USD
SPYV,SPDR Series Trust SPDR Portfolio S&P 500 Value ETF,25167098434.0015,USD,Equity,Large cap,SPDR,Size and style,United States,Value,North America,Value,Non-leveraged,Transparent,Fundamental,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,416191463.75,USD,53.108183,USD
XLY,SPDR Select Sector Fund - Consumer Discretionary,24239815947.6961,USD,Equity,Consumer discretionary,SPDR,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-2940420.75,USD,235.542393,USD
USMV,iShares MSCI USA Min Vol Factor ETF,23486881541,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Low volatility,Non-leveraged,Transparent,Multi-factor,Multi-factor,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-681851642.1,USD,91.688572,USD
SMH,VanEck Semiconductor ETF,23407705767.4686,USD,Equity,Information technology,VanEck,Sector,United States,Semiconductors,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,MarketVector Indexes GmbH,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-350504115,USD,249.522,USD
ISAPF,IShares Plc.,22726339715.8704,USD,Equity,Total market,iShares,Size and style,Ireland,Broad-based,Emerging markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,183843664.2892,USD,35.1375,USD
VXF,Vanguard Extended Market ETF,22491903432.468,USD,Equity,Extended market,Vanguard,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,120387479.29600258,USD,200.88,USD
SHY,iShares 1-3 Year Treasury Bond ETF,22477156789.5,USD,Fixed income,Investment grade,iShares,"Government, treasury",United States,Short-term,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-565812817.8,USD,82.068644,USD
IUSG,iShares Core S&P U.S. Growth ETF,21655553315,USD,Equity,Total market,iShares,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Multi-factor,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,236649649.85,USD,143.407337,USD
